"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","old_la_code","new_la_code","la_name","gender","progression_rate","high_tariff_progression_rate","number_of_he_students","number_of_high_tariff_he_students","number_of_students"
201011,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Male",22.2,"2.6",342,"40",1544
201011,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Total",26.2,"3",788,"91",3004
201112,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Female",30.3,"4.3",410,"58",1355
201112,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Male",23.6,"3.4",352,"51",1490
201112,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Total",26.8,"3.8",762,"109",2845
201213,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Female",29.9,"2.7",413,"37",1382
201213,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Male",24.2,"2.3",325,"31",1342
201213,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Total",27.1,"2.5",738,"68",2724
201314,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Female",32.1,"3.9",408,"49",1271
201314,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Male",27.3,"4",369,"54",1352
201314,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Total",29.6,"3.9",777,"103",2623
201415,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Female",32.9,"3.6",416,"45",1264
201415,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Male",24.7,"4.1",335,"55",1354
201415,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Total",28.7,"3.8",751,"100",2618
201516,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Female",33,"4",408,"49",1236
201516,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Male",29,"4.5",350,"54",1206
201516,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Total",31,"4.2",758,"103",2442
201617,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Female",36.5,"3.3",458,"41",1256
201617,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Male",25.1,"2.6",347,"36",1384
